Hour of First Occurrence Date,Is Crime
"May 2, 2017 at 3 PM",8
"May 2, 2017 at 4 PM",11
"May 2, 2017 at 5 PM",9
"May 2, 2017 at 6 PM",8
"May 2, 2017 at 7 PM",13
"May 2, 2017 at 8 PM",9
"May 2, 2017 at 9 PM",7
"May 2, 2017 at 10 PM",4
"May 2, 2017 at 11 PM",8
"May 3, 2017 at 12 AM",5
"May 3, 2017 at 1 AM",4
"May 3, 2017 at 2 AM",1
"May 3, 2017 at 3 AM",1
"May 3, 2017 at 5 AM",2
"May 3, 2017 at 6 AM",2
"May 3, 2017 at 7 AM",7
"May 3, 2017 at 8 AM",8
"May 3, 2017 at 9 AM",3
"May 3, 2017 at 10 AM",4
"May 3, 2017 at 11 AM",1
"May 3, 2017 at 12 PM",9
"May 3, 2017 at 1 PM",5
"May 3, 2017 at 2 PM",14
"May 3, 2017 at 3 PM",6
"May 3, 2017 at 4 PM",14
"May 3, 2017 at 5 PM",14
"May 3, 2017 at 6 PM",7
"May 3, 2017 at 7 PM",18
"May 3, 2017 at 8 PM",9
"May 3, 2017 at 9 PM",6
"May 3, 2017 at 10 PM",10
"May 3, 2017 at 11 PM",5
"May 4, 2017 at 12 AM",9
"May 4, 2017 at 1 AM",2
"May 4, 2017 at 3 AM",3
"May 4, 2017 at 5 AM",6
"May 4, 2017 at 6 AM",5
"May 4, 2017 at 7 AM",8
"May 4, 2017 at 8 AM",7
"May 4, 2017 at 9 AM",6
"May 4, 2017 at 10 AM",11
"May 4, 2017 at 11 AM",6
"May 4, 2017 at 12 PM",9
"May 4, 2017 at 1 PM",9
"May 4, 2017 at 2 PM",3
"May 4, 2017 at 3 PM",9
"May 4, 2017 at 4 PM",9
"May 4, 2017 at 5 PM",15
"May 4, 2017 at 6 PM",25
"May 4, 2017 at 7 PM",6
"May 4, 2017 at 8 PM",11
"May 4, 2017 at 9 PM",6
"May 4, 2017 at 10 PM",5
"May 4, 2017 at 11 PM",6
"May 5, 2017 at 12 AM",5
"May 5, 2017 at 1 AM",3
"May 5, 2017 at 2 AM",8
"May 5, 2017 at 3 AM",4
"May 5, 2017 at 4 AM",1
"May 5, 2017 at 5 AM",8
"May 5, 2017 at 6 AM",3
"May 5, 2017 at 7 AM",7
"May 5, 2017 at 8 AM",9
"May 5, 2017 at 9 AM",7
"May 5, 2017 at 10 AM",6
"May 5, 2017 at 11 AM",9
"May 5, 2017 at 12 PM",9
"May 5, 2017 at 1 PM",10
"May 5, 2017 at 2 PM",12
"May 5, 2017 at 3 PM",10
"May 5, 2017 at 4 PM",10
"May 5, 2017 at 5 PM",11
"May 5, 2017 at 6 PM",10
"May 5, 2017 at 7 PM",13
"May 5, 2017 at 8 PM",13
"May 5, 2017 at 9 PM",11
"May 5, 2017 at 10 PM",9
"May 5, 2017 at 11 PM",5
"May 6, 2017 at 12 AM",10
"May 6, 2017 at 1 AM",13
"May 6, 2017 at 2 AM",6
"May 6, 2017 at 3 AM",5
"May 6, 2017 at 4 AM",4
"May 6, 2017 at 5 AM",2
"May 6, 2017 at 7 AM",1
"May 6, 2017 at 8 AM",4
"May 6, 2017 at 9 AM",3
"May 6, 2017 at 10 AM",2
"May 6, 2017 at 11 AM",4
"May 6, 2017 at 12 PM",13
"May 6, 2017 at 1 PM",7
"May 6, 2017 at 2 PM",6
"May 6, 2017 at 3 PM",14
"May 6, 2017 at 4 PM",11
"May 6, 2017 at 5 PM",7
"May 6, 2017 at 6 PM",6
"May 6, 2017 at 7 PM",12
"May 6, 2017 at 8 PM",7
"May 6, 2017 at 9 PM",7
"May 6, 2017 at 10 PM",9
"May 6, 2017 at 11 PM",20
"May 7, 2017 at 12 AM",12
"May 7, 2017 at 1 AM",8
"May 7, 2017 at 2 AM",7
"May 7, 2017 at 3 AM",4
"May 7, 2017 at 4 AM",1
"May 7, 2017 at 5 AM",2
"May 7, 2017 at 6 AM",4
"May 7, 2017 at 7 AM",4
"May 7, 2017 at 8 AM",7
"May 7, 2017 at 9 AM",3
"May 7, 2017 at 10 AM",4
"May 7, 2017 at 11 AM",5
"May 7, 2017 at 12 PM",5
"May 7, 2017 at 1 PM",4
"May 7, 2017 at 2 PM",4
"May 7, 2017 at 3 PM",14
"May 7, 2017 at 4 PM",5
"May 7, 2017 at 5 PM",6
"May 7, 2017 at 6 PM",9
"May 7, 2017 at 7 PM",14
"May 7, 2017 at 8 PM",4
"May 7, 2017 at 9 PM",12
"May 7, 2017 at 10 PM",6
"May 7, 2017 at 11 PM",5
"May 8, 2017 at 12 AM",7
"May 8, 2017 at 1 AM",2
"May 8, 2017 at 2 AM",2
"May 8, 2017 at 3 AM",1
"May 8, 2017 at 4 AM",1
"May 8, 2017 at 5 AM",3
"May 8, 2017 at 6 AM",7
"May 8, 2017 at 7 AM",11
"May 8, 2017 at 8 AM",16
"May 8, 2017 at 9 AM",8
"May 8, 2017 at 10 AM",10
"May 8, 2017 at 11 AM",11
"May 8, 2017 at 12 PM",6
"May 8, 2017 at 1 PM",17
"May 8, 2017 at 2 PM",8
"May 8, 2017 at 3 PM",4
"May 8, 2017 at 4 PM",9
"May 8, 2017 at 5 PM",4
"May 8, 2017 at 6 PM",8
"May 8, 2017 at 7 PM",10
"May 8, 2017 at 8 PM",7
"May 8, 2017 at 9 PM",6
"May 8, 2017 at 10 PM",16
"May 8, 2017 at 11 PM",4
"May 9, 2017 at 12 AM",7
"May 9, 2017 at 1 AM",1
"May 9, 2017 at 2 AM",2
"May 9, 2017 at 3 AM",3
"May 9, 2017 at 4 AM",1
"May 9, 2017 at 5 AM",5
"May 9, 2017 at 6 AM",7
"May 9, 2017 at 7 AM",9
"May 9, 2017 at 8 AM",7
"May 9, 2017 at 9 AM",11
"May 9, 2017 at 10 AM",8
"May 9, 2017 at 11 AM",6
"May 9, 2017 at 12 PM",12
"May 9, 2017 at 1 PM",3
"May 9, 2017 at 2 PM",6
"May 9, 2017 at 3 PM",10
"May 9, 2017 at 4 PM",11
"May 9, 2017 at 5 PM",14
"May 9, 2017 at 6 PM",9
"May 9, 2017 at 7 PM",13
"May 9, 2017 at 8 PM",9
"May 9, 2017 at 9 PM",10
"May 9, 2017 at 10 PM",11
"May 9, 2017 at 11 PM",7
"May 10, 2017 at 12 AM",11
"May 10, 2017 at 1 AM",4
"May 10, 2017 at 3 AM",2
"May 10, 2017 at 4 AM",1
"May 10, 2017 at 5 AM",1
"May 10, 2017 at 6 AM",6
"May 10, 2017 at 7 AM",6
"May 10, 2017 at 8 AM",14
"May 10, 2017 at 9 AM",6
"May 10, 2017 at 10 AM",6
"May 10, 2017 at 11 AM",10
"May 10, 2017 at 12 PM",9
"May 10, 2017 at 1 PM",8
"May 10, 2017 at 2 PM",7
"May 10, 2017 at 3 PM",8
"May 10, 2017 at 4 PM",12
"May 10, 2017 at 5 PM",14
"May 10, 2017 at 6 PM",11
"May 10, 2017 at 7 PM",4
"May 10, 2017 at 8 PM",13
"May 10, 2017 at 9 PM",7
"May 10, 2017 at 10 PM",7
"May 10, 2017 at 11 PM",5
"May 11, 2017 at 12 AM",2
"May 11, 2017 at 1 AM",11
"May 11, 2017 at 2 AM",5
"May 11, 2017 at 3 AM",5
"May 11, 2017 at 4 AM",3
"May 11, 2017 at 5 AM",1
"May 11, 2017 at 6 AM",1
"May 11, 2017 at 7 AM",10
"May 11, 2017 at 8 AM",8
"May 11, 2017 at 9 AM",6
"May 11, 2017 at 10 AM",1
"May 11, 2017 at 11 AM",9
"May 11, 2017 at 12 PM",15
"May 11, 2017 at 1 PM",11
"May 11, 2017 at 2 PM",9
"May 11, 2017 at 3 PM",14
"May 11, 2017 at 4 PM",13
"May 11, 2017 at 5 PM",7
"May 11, 2017 at 6 PM",8
"May 11, 2017 at 7 PM",21
"May 11, 2017 at 8 PM",9
"May 11, 2017 at 9 PM",8
"May 11, 2017 at 10 PM",12
"May 11, 2017 at 11 PM",5
"May 12, 2017 at 12 AM",8
"May 12, 2017 at 1 AM",15
"May 12, 2017 at 2 AM",5
"May 12, 2017 at 3 AM",2
"May 12, 2017 at 4 AM",3
"May 12, 2017 at 5 AM",3
"May 12, 2017 at 6 AM",3
"May 12, 2017 at 7 AM",7
"May 12, 2017 at 8 AM",10
"May 12, 2017 at 9 AM",5
"May 12, 2017 at 10 AM",6
"May 12, 2017 at 11 AM",14
"May 12, 2017 at 12 PM",12
"May 12, 2017 at 1 PM",8
"May 12, 2017 at 2 PM",6
"May 12, 2017 at 3 PM",6
"May 12, 2017 at 4 PM",13
"May 12, 2017 at 5 PM",15
"May 12, 2017 at 6 PM",17
"May 12, 2017 at 7 PM",12
"May 12, 2017 at 8 PM",11
"May 12, 2017 at 9 PM",12
"May 12, 2017 at 10 PM",14
"May 12, 2017 at 11 PM",7
"May 13, 2017 at 12 AM",7
"May 13, 2017 at 1 AM",12
"May 13, 2017 at 2 AM",3
"May 13, 2017 at 3 AM",1
"May 13, 2017 at 4 AM",6
"May 13, 2017 at 5 AM",2
"May 13, 2017 at 7 AM",2
"May 13, 2017 at 8 AM",7
"May 13, 2017 at 9 AM",9
"May 13, 2017 at 10 AM",6
"May 13, 2017 at 11 AM",3
"May 13, 2017 at 12 PM",6
"May 13, 2017 at 1 PM",6
"May 13, 2017 at 2 PM",7
"May 13, 2017 at 3 PM",12
"May 13, 2017 at 4 PM",16
"May 13, 2017 at 5 PM",8
"May 13, 2017 at 6 PM",7
"May 13, 2017 at 7 PM",14
"May 13, 2017 at 8 PM",9
"May 13, 2017 at 9 PM",10
"May 13, 2017 at 10 PM",12
"May 13, 2017 at 11 PM",10
"May 14, 2017 at 12 AM",9
"May 14, 2017 at 1 AM",9
"May 14, 2017 at 2 AM",5
"May 14, 2017 at 3 AM",4
"May 14, 2017 at 4 AM",2
"May 14, 2017 at 6 AM",3
"May 14, 2017 at 7 AM",7
"May 14, 2017 at 9 AM",4
"May 14, 2017 at 10 AM",5
"May 14, 2017 at 11 AM",3
"May 14, 2017 at 12 PM",11
"May 14, 2017 at 1 PM",5
"May 14, 2017 at 2 PM",3
"May 14, 2017 at 3 PM",5
"May 14, 2017 at 4 PM",10
"May 14, 2017 at 5 PM",9
"May 14, 2017 at 6 PM",11
"May 14, 2017 at 7 PM",7
"May 14, 2017 at 8 PM",7
"May 14, 2017 at 9 PM",6
"May 14, 2017 at 10 PM",14
"May 14, 2017 at 11 PM",7
"May 15, 2017 at 12 AM",9
"May 15, 2017 at 1 AM",5
"May 15, 2017 at 2 AM",7
"May 15, 2017 at 3 AM",6
"May 15, 2017 at 4 AM",1
"May 15, 2017 at 5 AM",3
"May 15, 2017 at 6 AM",6
"May 15, 2017 at 7 AM",2
"May 15, 2017 at 8 AM",10
"May 15, 2017 at 9 AM",7
"May 15, 2017 at 10 AM",6
"May 15, 2017 at 11 AM",5
"May 15, 2017 at 12 PM",13
"May 15, 2017 at 1 PM",4
"May 15, 2017 at 2 PM",10
"May 15, 2017 at 3 PM",8
"May 15, 2017 at 4 PM",11
"May 15, 2017 at 5 PM",9
"May 15, 2017 at 6 PM",7
"May 15, 2017 at 7 PM",15
"May 15, 2017 at 8 PM",11
"May 15, 2017 at 9 PM",12
"May 15, 2017 at 10 PM",9
"May 15, 2017 at 11 PM",5
"May 16, 2017 at 12 AM",5
"May 16, 2017 at 1 AM",8
"May 16, 2017 at 2 AM",4
"May 16, 2017 at 3 AM",2
"May 16, 2017 at 4 AM",2
"May 16, 2017 at 5 AM",2
"May 16, 2017 at 6 AM",7
"May 16, 2017 at 7 AM",10
"May 16, 2017 at 8 AM",11
"May 16, 2017 at 9 AM",7
"May 16, 2017 at 10 AM",8
"May 16, 2017 at 11 AM",1
"May 16, 2017 at 12 PM",8
"May 16, 2017 at 1 PM",13
"May 16, 2017 at 2 PM",9
"May 16, 2017 at 3 PM",16
"May 16, 2017 at 4 PM",10
"May 16, 2017 at 5 PM",4
"May 16, 2017 at 6 PM",19
"May 16, 2017 at 7 PM",3
"May 16, 2017 at 8 PM",7
"May 16, 2017 at 9 PM",8
"May 16, 2017 at 10 PM",8
"May 16, 2017 at 11 PM",8
"May 17, 2017 at 12 AM",5
"May 17, 2017 at 1 AM",1
"May 17, 2017 at 2 AM",3
"May 17, 2017 at 3 AM",2
"May 17, 2017 at 4 AM",2
"May 17, 2017 at 5 AM",2
"May 17, 2017 at 6 AM",3
"May 17, 2017 at 7 AM",6
"May 17, 2017 at 8 AM",8
"May 17, 2017 at 9 AM",8
"May 17, 2017 at 10 AM",6
"May 17, 2017 at 11 AM",6
"May 17, 2017 at 12 PM",10
"May 17, 2017 at 1 PM",11
"May 17, 2017 at 2 PM",9
"May 17, 2017 at 3 PM",11
"May 17, 2017 at 4 PM",10
"May 17, 2017 at 5 PM",13
"May 17, 2017 at 6 PM",10
"May 17, 2017 at 7 PM",10
"May 17, 2017 at 8 PM",5
"May 17, 2017 at 9 PM",8
"May 17, 2017 at 10 PM",7
"May 17, 2017 at 11 PM",3
"May 18, 2017 at 12 AM",8
"May 18, 2017 at 1 AM",2
"May 18, 2017 at 2 AM",5
"May 18, 2017 at 4 AM",1
"May 18, 2017 at 6 AM",2
"May 18, 2017 at 7 AM",4
"May 18, 2017 at 8 AM",7
"May 18, 2017 at 9 AM",9
"May 18, 2017 at 10 AM",1
"May 18, 2017 at 11 AM",4
"May 18, 2017 at 12 PM",7
"May 18, 2017 at 1 PM",4
"May 18, 2017 at 2 PM",9
"May 18, 2017 at 3 PM",3
"May 18, 2017 at 4 PM",12
"May 18, 2017 at 5 PM",22
"May 18, 2017 at 6 PM",12
"May 18, 2017 at 7 PM",8
"May 18, 2017 at 8 PM",2
"May 18, 2017 at 9 PM",9
"May 18, 2017 at 10 PM",4
"May 18, 2017 at 11 PM",5
"May 19, 2017 at 12 AM",12
"May 19, 2017 at 1 AM",3
"May 19, 2017 at 2 AM",6
"May 19, 2017 at 3 AM",1
"May 19, 2017 at 4 AM",3
"May 19, 2017 at 5 AM",1
"May 19, 2017 at 6 AM",4
"May 19, 2017 at 7 AM",5
"May 19, 2017 at 8 AM",9
"May 19, 2017 at 9 AM",6
"May 19, 2017 at 10 AM",5
"May 19, 2017 at 11 AM",5
"May 19, 2017 at 12 PM",9
"May 19, 2017 at 1 PM",9
"May 19, 2017 at 2 PM",8
"May 19, 2017 at 3 PM",10
"May 19, 2017 at 4 PM",9
"May 19, 2017 at 5 PM",11
"May 19, 2017 at 6 PM",6
"May 19, 2017 at 7 PM",10
"May 19, 2017 at 8 PM",9
"May 19, 2017 at 9 PM",6
"May 19, 2017 at 10 PM",14
"May 19, 2017 at 11 PM",4
"May 20, 2017 at 12 AM",13
"May 20, 2017 at 1 AM",3
"May 20, 2017 at 2 AM",5
"May 20, 2017 at 3 AM",6
"May 20, 2017 at 4 AM",4
"May 20, 2017 at 5 AM",1
"May 20, 2017 at 6 AM",4
"May 20, 2017 at 7 AM",1
"May 20, 2017 at 8 AM",6
"May 20, 2017 at 9 AM",5
"May 20, 2017 at 10 AM",10
"May 20, 2017 at 11 AM",4
"May 20, 2017 at 12 PM",6
"May 20, 2017 at 1 PM",10
"May 20, 2017 at 2 PM",6
"May 20, 2017 at 3 PM",6
"May 20, 2017 at 4 PM",10
"May 20, 2017 at 5 PM",10
"May 20, 2017 at 6 PM",16
"May 20, 2017 at 7 PM",5
"May 20, 2017 at 8 PM",8
"May 20, 2017 at 9 PM",7
"May 20, 2017 at 10 PM",13
"May 20, 2017 at 11 PM",8
"May 21, 2017 at 12 AM",14
"May 21, 2017 at 1 AM",8
"May 21, 2017 at 2 AM",7
"May 21, 2017 at 3 AM",2
"May 21, 2017 at 4 AM",4
"May 21, 2017 at 5 AM",2
"May 21, 2017 at 7 AM",1
"May 21, 2017 at 8 AM",2
"May 21, 2017 at 9 AM",3
"May 21, 2017 at 10 AM",3
"May 21, 2017 at 11 AM",2
"May 21, 2017 at 12 PM",9
"May 21, 2017 at 1 PM",5
"May 21, 2017 at 2 PM",10
"May 21, 2017 at 3 PM",7
"May 21, 2017 at 4 PM",8
"May 21, 2017 at 5 PM",13
"May 21, 2017 at 6 PM",10
"May 21, 2017 at 7 PM",5
"May 21, 2017 at 8 PM",7
"May 21, 2017 at 9 PM",9
"May 21, 2017 at 10 PM",11
"May 21, 2017 at 11 PM",11
"May 22, 2017 at 12 AM",10
"May 22, 2017 at 1 AM",4
"May 22, 2017 at 2 AM",4
"May 22, 2017 at 3 AM",2
"May 22, 2017 at 4 AM",2
"May 22, 2017 at 5 AM",2
"May 22, 2017 at 6 AM",8
"May 22, 2017 at 7 AM",3
"May 22, 2017 at 8 AM",8
"May 22, 2017 at 9 AM",7
"May 22, 2017 at 10 AM",4
"May 22, 2017 at 11 AM",8
"May 22, 2017 at 12 PM",16
"May 22, 2017 at 1 PM",8
"May 22, 2017 at 2 PM",6
"May 22, 2017 at 3 PM",12
"May 22, 2017 at 4 PM",10
"May 22, 2017 at 5 PM",7
"May 22, 2017 at 6 PM",11
"May 22, 2017 at 7 PM",9
"May 22, 2017 at 8 PM",7
"May 22, 2017 at 9 PM",7
"May 22, 2017 at 10 PM",8
"May 22, 2017 at 11 PM",8
"May 23, 2017 at 12 AM",3
"May 23, 2017 at 1 AM",5
"May 23, 2017 at 2 AM",3
"May 23, 2017 at 3 AM",1
"May 23, 2017 at 4 AM",1
"May 23, 2017 at 5 AM",1
"May 23, 2017 at 6 AM",6
"May 23, 2017 at 7 AM",11
"May 23, 2017 at 8 AM",9
"May 23, 2017 at 9 AM",6
"May 23, 2017 at 10 AM",6
"May 23, 2017 at 11 AM",11
"May 23, 2017 at 12 PM",8
"May 23, 2017 at 1 PM",20
"May 23, 2017 at 2 PM",10
"May 23, 2017 at 3 PM",7
"May 23, 2017 at 4 PM",15
"May 23, 2017 at 5 PM",11
"May 23, 2017 at 6 PM",8
"May 23, 2017 at 7 PM",10
"May 23, 2017 at 8 PM",9
"May 23, 2017 at 9 PM",3
"May 23, 2017 at 10 PM",6
"May 23, 2017 at 11 PM",8
"May 24, 2017 at 12 AM",11
"May 24, 2017 at 1 AM",2
"May 24, 2017 at 2 AM",5
"May 24, 2017 at 3 AM",1
"May 24, 2017 at 4 AM",3
"May 24, 2017 at 5 AM",1
"May 24, 2017 at 6 AM",5
"May 24, 2017 at 7 AM",4
"May 24, 2017 at 8 AM",12
"May 24, 2017 at 9 AM",10
"May 24, 2017 at 10 AM",6
"May 24, 2017 at 11 AM",8
"May 24, 2017 at 12 PM",10
"May 24, 2017 at 1 PM",11
"May 24, 2017 at 2 PM",19
"May 24, 2017 at 3 PM",10
"May 24, 2017 at 4 PM",19
"May 24, 2017 at 5 PM",8
"May 24, 2017 at 6 PM",5
"May 24, 2017 at 7 PM",19
"May 24, 2017 at 8 PM",8
"May 24, 2017 at 9 PM",9
"May 24, 2017 at 10 PM",7
"May 24, 2017 at 11 PM",7
"May 25, 2017 at 12 AM",5
"May 25, 2017 at 1 AM",7
"May 25, 2017 at 2 AM",4
"May 25, 2017 at 3 AM",5
"May 25, 2017 at 4 AM",2
"May 25, 2017 at 5 AM",1
"May 25, 2017 at 7 AM",6
"May 25, 2017 at 8 AM",6
"May 25, 2017 at 9 AM",8
"May 25, 2017 at 10 AM",7
"May 25, 2017 at 11 AM",4
"May 25, 2017 at 12 PM",16
"May 25, 2017 at 1 PM",8
"May 25, 2017 at 2 PM",6
"May 25, 2017 at 3 PM",8
"May 25, 2017 at 4 PM",22
"May 25, 2017 at 5 PM",7
"May 25, 2017 at 6 PM",10
"May 25, 2017 at 7 PM",10
"May 25, 2017 at 8 PM",9
"May 25, 2017 at 9 PM",4
"May 25, 2017 at 10 PM",15
"May 25, 2017 at 11 PM",8
"May 26, 2017 at 12 AM",8
"May 26, 2017 at 1 AM",4
"May 26, 2017 at 2 AM",2
"May 26, 2017 at 3 AM",2
"May 26, 2017 at 4 AM",3
"May 26, 2017 at 5 AM",2
"May 26, 2017 at 6 AM",3
"May 26, 2017 at 7 AM",9
"May 26, 2017 at 8 AM",11
"May 26, 2017 at 9 AM",4
"May 26, 2017 at 10 AM",5
"May 26, 2017 at 11 AM",7
"May 26, 2017 at 12 PM",10
"May 26, 2017 at 1 PM",6
"May 26, 2017 at 2 PM",13
"May 26, 2017 at 3 PM",12
"May 26, 2017 at 4 PM",12
"May 26, 2017 at 5 PM",11
"May 26, 2017 at 6 PM",20
"May 26, 2017 at 7 PM",20
"May 26, 2017 at 8 PM",6
"May 26, 2017 at 9 PM",6
"May 26, 2017 at 10 PM",21
"May 26, 2017 at 11 PM",4
"May 27, 2017 at 12 AM",21
"May 27, 2017 at 1 AM",9
"May 27, 2017 at 2 AM",6
"May 27, 2017 at 3 AM",9
"May 27, 2017 at 4 AM",1
"May 27, 2017 at 5 AM",5
"May 27, 2017 at 6 AM",2
"May 27, 2017 at 7 AM",3
"May 27, 2017 at 8 AM",6
"May 27, 2017 at 9 AM",5
"May 27, 2017 at 10 AM",11
"May 27, 2017 at 11 AM",4
"May 27, 2017 at 12 PM",3
"May 27, 2017 at 1 PM",9
"May 27, 2017 at 2 PM",6
"May 27, 2017 at 3 PM",6
"May 27, 2017 at 4 PM",6
"May 27, 2017 at 5 PM",14
"May 27, 2017 at 6 PM",10
"May 27, 2017 at 7 PM",7
"May 27, 2017 at 8 PM",5
"May 27, 2017 at 9 PM",11
"May 27, 2017 at 10 PM",21
"May 27, 2017 at 11 PM",9
"May 28, 2017 at 12 AM",18
"May 28, 2017 at 1 AM",8
"May 28, 2017 at 2 AM",15
"May 28, 2017 at 3 AM",4
"May 28, 2017 at 4 AM",3
"May 28, 2017 at 5 AM",2
"May 28, 2017 at 6 AM",4
"May 28, 2017 at 7 AM",2
"May 28, 2017 at 8 AM",6
"May 28, 2017 at 9 AM",6
"May 28, 2017 at 10 AM",6
"May 28, 2017 at 11 AM",7
"May 28, 2017 at 12 PM",8
"May 28, 2017 at 1 PM",7
"May 28, 2017 at 2 PM",9
"May 28, 2017 at 3 PM",9
"May 28, 2017 at 4 PM",14
"May 28, 2017 at 5 PM",5
"May 28, 2017 at 6 PM",14
"May 28, 2017 at 7 PM",6
"May 28, 2017 at 8 PM",17
"May 28, 2017 at 9 PM",12
"May 28, 2017 at 10 PM",14
"May 28, 2017 at 11 PM",15
"May 29, 2017 at 12 AM",8
"May 29, 2017 at 1 AM",8
"May 29, 2017 at 2 AM",6
"May 29, 2017 at 3 AM",13
"May 29, 2017 at 4 AM",2
"May 29, 2017 at 5 AM",3
"May 29, 2017 at 6 AM",4
"May 29, 2017 at 7 AM",1
"May 29, 2017 at 8 AM",10
"May 29, 2017 at 9 AM",9
"May 29, 2017 at 10 AM",4
"May 29, 2017 at 11 AM",3
"May 29, 2017 at 12 PM",8
"May 29, 2017 at 1 PM",13
"May 29, 2017 at 2 PM",8
"May 29, 2017 at 3 PM",10
"May 29, 2017 at 4 PM",12
"May 29, 2017 at 5 PM",10
"May 29, 2017 at 6 PM",6
"May 29, 2017 at 7 PM",7
"May 29, 2017 at 8 PM",12
"May 29, 2017 at 9 PM",6
"May 29, 2017 at 10 PM",10
"May 29, 2017 at 11 PM",14
"May 30, 2017 at 12 AM",9
"May 30, 2017 at 1 AM",5
"May 30, 2017 at 2 AM",8
"May 30, 2017 at 3 AM",4
"May 30, 2017 at 4 AM",3
"May 30, 2017 at 5 AM",3
"May 30, 2017 at 6 AM",1
"May 30, 2017 at 7 AM",9
"May 30, 2017 at 8 AM",9
"May 30, 2017 at 9 AM",4
"May 30, 2017 at 10 AM",9
"May 30, 2017 at 11 AM",7
"May 30, 2017 at 12 PM",9
"May 30, 2017 at 1 PM",5
"May 30, 2017 at 2 PM",11
"May 30, 2017 at 3 PM",8
"May 30, 2017 at 4 PM",14
"May 30, 2017 at 5 PM",10
"May 30, 2017 at 6 PM",12
"May 30, 2017 at 7 PM",12
"May 30, 2017 at 8 PM",6
"May 30, 2017 at 9 PM",14
"May 30, 2017 at 10 PM",6
"May 30, 2017 at 11 PM",5
"May 31, 2017 at 12 AM",4
"May 31, 2017 at 1 AM",5
"May 31, 2017 at 2 AM",5
"May 31, 2017 at 3 AM",2
"May 31, 2017 at 4 AM",1
"May 31, 2017 at 5 AM",1
"May 31, 2017 at 6 AM",1
"May 31, 2017 at 7 AM",2
"May 31, 2017 at 8 AM",7
"May 31, 2017 at 9 AM",6
"May 31, 2017 at 10 AM",9
"May 31, 2017 at 11 AM",6
"May 31, 2017 at 12 PM",12
"May 31, 2017 at 1 PM",13
"May 31, 2017 at 2 PM",12
"May 31, 2017 at 3 PM",20
"May 31, 2017 at 4 PM",16
"May 31, 2017 at 5 PM",6
"May 31, 2017 at 6 PM",11
"May 31, 2017 at 7 PM",16
"May 31, 2017 at 8 PM",10
"May 31, 2017 at 9 PM",9
"May 31, 2017 at 10 PM",11
"May 31, 2017 at 11 PM",6
"June 1, 2017 at 12 AM",17
"June 1, 2017 at 1 AM",9
"June 1, 2017 at 2 AM",2
"June 1, 2017 at 3 AM",2
"June 1, 2017 at 4 AM",5
"June 1, 2017 at 5 AM",1
"June 1, 2017 at 6 AM",6
"June 1, 2017 at 7 AM",13
"June 1, 2017 at 8 AM",17
"June 1, 2017 at 9 AM",11
"June 1, 2017 at 10 AM",7
"June 1, 2017 at 11 AM",3
"June 1, 2017 at 12 PM",11
"June 1, 2017 at 1 PM",8
"June 1, 2017 at 2 PM",10
"June 1, 2017 at 3 PM",12
"June 1, 2017 at 4 PM",12
"June 1, 2017 at 5 PM",17
"June 1, 2017 at 6 PM",9
"June 1, 2017 at 7 PM",13
"June 1, 2017 at 8 PM",13
"June 1, 2017 at 9 PM",15
"June 1, 2017 at 10 PM",17
"June 1, 2017 at 11 PM",11
"June 2, 2017 at 12 AM",9
"June 2, 2017 at 2 AM",6
"June 2, 2017 at 3 AM",5
"June 2, 2017 at 4 AM",1
"June 2, 2017 at 5 AM",1
"June 2, 2017 at 6 AM",3
"June 2, 2017 at 7 AM",6
"June 2, 2017 at 8 AM",6
"June 2, 2017 at 9 AM",4
"June 2, 2017 at 10 AM",6
"June 2, 2017 at 11 AM",9
"June 2, 2017 at 12 PM",6
"June 2, 2017 at 1 PM",9
"June 2, 2017 at 2 PM",5
"June 2, 2017 at 3 PM",12
"June 2, 2017 at 4 PM",11
"June 2, 2017 at 5 PM",12
"June 2, 2017 at 6 PM",9
"June 2, 2017 at 7 PM",13
"June 2, 2017 at 8 PM",12
"June 2, 2017 at 9 PM",8
"June 2, 2017 at 10 PM",8
"June 2, 2017 at 11 PM",9
"June 3, 2017 at 12 AM",17
"June 3, 2017 at 1 AM",3
"June 3, 2017 at 2 AM",10
"June 3, 2017 at 3 AM",5
"June 3, 2017 at 4 AM",6
"June 3, 2017 at 5 AM",3
"June 3, 2017 at 6 AM",4
"June 3, 2017 at 7 AM",3
"June 3, 2017 at 8 AM",10
"June 3, 2017 at 9 AM",4
"June 3, 2017 at 10 AM",4
"June 3, 2017 at 11 AM",9
"June 3, 2017 at 12 PM",8
"June 3, 2017 at 1 PM",6
"June 3, 2017 at 2 PM",6
"June 3, 2017 at 3 PM",9
"June 3, 2017 at 4 PM",16
"June 3, 2017 at 5 PM",15
"June 3, 2017 at 6 PM",9
"June 3, 2017 at 7 PM",10
"June 3, 2017 at 8 PM",5
"June 3, 2017 at 9 PM",11
"June 3, 2017 at 10 PM",4
"June 3, 2017 at 11 PM",8
"June 4, 2017 at 12 AM",12
"June 4, 2017 at 1 AM",8
"June 4, 2017 at 2 AM",18
"June 4, 2017 at 3 AM",5
"June 4, 2017 at 4 AM",5
"June 4, 2017 at 5 AM",1
"June 4, 2017 at 6 AM",3
"June 4, 2017 at 7 AM",3
"June 4, 2017 at 8 AM",3
"June 4, 2017 at 9 AM",3
"June 4, 2017 at 10 AM",4
"June 4, 2017 at 11 AM",6
