Hour of First Occurrence Date,Is Crime
"January 9, 2017 at 2 PM",10
"January 9, 2017 at 3 PM",7
"January 9, 2017 at 4 PM",15
"January 9, 2017 at 5 PM",11
"January 9, 2017 at 6 PM",7
"January 9, 2017 at 7 PM",8
"January 9, 2017 at 8 PM",2
"January 9, 2017 at 9 PM",10
"January 9, 2017 at 10 PM",9
"January 9, 2017 at 11 PM",8
"January 10, 2017 at 12 AM",12
"January 10, 2017 at 1 AM",3
"January 10, 2017 at 2 AM",4
"January 10, 2017 at 3 AM",3
"January 10, 2017 at 4 AM",3
"January 10, 2017 at 5 AM",1
"January 10, 2017 at 6 AM",6
"January 10, 2017 at 7 AM",9
"January 10, 2017 at 8 AM",8
"January 10, 2017 at 9 AM",3
"January 10, 2017 at 10 AM",4
"January 10, 2017 at 11 AM",7
"January 10, 2017 at 12 PM",13
"January 10, 2017 at 1 PM",5
"January 10, 2017 at 2 PM",6
"January 10, 2017 at 3 PM",8
"January 10, 2017 at 4 PM",12
"January 10, 2017 at 5 PM",9
"January 10, 2017 at 6 PM",7
"January 10, 2017 at 7 PM",11
"January 10, 2017 at 8 PM",6
"January 10, 2017 at 9 PM",6
"January 10, 2017 at 10 PM",6
"January 10, 2017 at 11 PM",9
"January 11, 2017 at 12 AM",4
"January 11, 2017 at 1 AM",4
"January 11, 2017 at 2 AM",7
"January 11, 2017 at 3 AM",2
"January 11, 2017 at 4 AM",7
"January 11, 2017 at 5 AM",2
"January 11, 2017 at 6 AM",3
"January 11, 2017 at 7 AM",5
"January 11, 2017 at 8 AM",9
"January 11, 2017 at 9 AM",6
"January 11, 2017 at 10 AM",8
"January 11, 2017 at 11 AM",11
"January 11, 2017 at 12 PM",5
"January 11, 2017 at 1 PM",9
"January 11, 2017 at 2 PM",3
"January 11, 2017 at 3 PM",5
"January 11, 2017 at 4 PM",10
"January 11, 2017 at 5 PM",9
"January 11, 2017 at 6 PM",8
"January 11, 2017 at 7 PM",15
"January 11, 2017 at 8 PM",9
"January 11, 2017 at 9 PM",10
"January 11, 2017 at 10 PM",11
"January 11, 2017 at 11 PM",10
"January 12, 2017 at 12 AM",10
"January 12, 2017 at 1 AM",2
"January 12, 2017 at 2 AM",2
"January 12, 2017 at 3 AM",4
"January 12, 2017 at 4 AM",1
"January 12, 2017 at 5 AM",2
"January 12, 2017 at 6 AM",2
"January 12, 2017 at 7 AM",5
"January 12, 2017 at 8 AM",9
"January 12, 2017 at 9 AM",4
"January 12, 2017 at 10 AM",7
"January 12, 2017 at 11 AM",3
"January 12, 2017 at 12 PM",6
"January 12, 2017 at 1 PM",7
"January 12, 2017 at 2 PM",8
"January 12, 2017 at 3 PM",8
"January 12, 2017 at 4 PM",15
"January 12, 2017 at 5 PM",12
"January 12, 2017 at 6 PM",11
"January 12, 2017 at 7 PM",14
"January 12, 2017 at 8 PM",7
"January 12, 2017 at 9 PM",5
"January 12, 2017 at 10 PM",10
"January 12, 2017 at 11 PM",6
"January 13, 2017 at 12 AM",11
"January 13, 2017 at 1 AM",14
"January 13, 2017 at 2 AM",2
"January 13, 2017 at 3 AM",7
"January 13, 2017 at 4 AM",2
"January 13, 2017 at 5 AM",5
"January 13, 2017 at 6 AM",1
"January 13, 2017 at 7 AM",10
"January 13, 2017 at 8 AM",2
"January 13, 2017 at 9 AM",2
"January 13, 2017 at 10 AM",5
"January 13, 2017 at 11 AM",4
"January 13, 2017 at 12 PM",8
"January 13, 2017 at 1 PM",14
"January 13, 2017 at 2 PM",11
"January 13, 2017 at 3 PM",9
"January 13, 2017 at 4 PM",9
"January 13, 2017 at 5 PM",20
"January 13, 2017 at 6 PM",6
"January 13, 2017 at 7 PM",7
"January 13, 2017 at 8 PM",5
"January 13, 2017 at 9 PM",11
"January 13, 2017 at 10 PM",10
"January 13, 2017 at 11 PM",4
"January 14, 2017 at 12 AM",6
"January 14, 2017 at 1 AM",12
"January 14, 2017 at 2 AM",5
"January 14, 2017 at 3 AM",11
"January 14, 2017 at 4 AM",5
"January 14, 2017 at 5 AM",4
"January 14, 2017 at 7 AM",2
"January 14, 2017 at 8 AM",1
"January 14, 2017 at 9 AM",4
"January 14, 2017 at 10 AM",4
"January 14, 2017 at 11 AM",2
"January 14, 2017 at 12 PM",4
"January 14, 2017 at 1 PM",4
"January 14, 2017 at 2 PM",4
"January 14, 2017 at 3 PM",8
"January 14, 2017 at 4 PM",6
"January 14, 2017 at 5 PM",8
"January 14, 2017 at 6 PM",8
"January 14, 2017 at 7 PM",8
"January 14, 2017 at 8 PM",7
"January 14, 2017 at 9 PM",3
"January 14, 2017 at 10 PM",7
"January 14, 2017 at 11 PM",9
"January 15, 2017 at 12 AM",10
"January 15, 2017 at 1 AM",10
"January 15, 2017 at 2 AM",10
"January 15, 2017 at 3 AM",3
"January 15, 2017 at 4 AM",3
"January 15, 2017 at 5 AM",1
"January 15, 2017 at 7 AM",1
"January 15, 2017 at 8 AM",6
"January 15, 2017 at 9 AM",5
"January 15, 2017 at 10 AM",2
"January 15, 2017 at 11 AM",2
"January 15, 2017 at 12 PM",7
"January 15, 2017 at 1 PM",5
"January 15, 2017 at 2 PM",4
"January 15, 2017 at 3 PM",7
"January 15, 2017 at 4 PM",11
"January 15, 2017 at 5 PM",7
"January 15, 2017 at 6 PM",9
"January 15, 2017 at 7 PM",3
"January 15, 2017 at 8 PM",7
"January 15, 2017 at 9 PM",8
"January 15, 2017 at 10 PM",10
"January 15, 2017 at 11 PM",8
"January 16, 2017 at 12 AM",3
"January 16, 2017 at 1 AM",7
"January 16, 2017 at 2 AM",7
"January 16, 2017 at 3 AM",4
"January 16, 2017 at 4 AM",1
"January 16, 2017 at 5 AM",4
"January 16, 2017 at 7 AM",4
"January 16, 2017 at 8 AM",11
"January 16, 2017 at 9 AM",3
"January 16, 2017 at 10 AM",3
"January 16, 2017 at 11 AM",1
"January 16, 2017 at 12 PM",4
"January 16, 2017 at 1 PM",4
"January 16, 2017 at 2 PM",10
"January 16, 2017 at 3 PM",6
"January 16, 2017 at 4 PM",7
"January 16, 2017 at 5 PM",14
"January 16, 2017 at 6 PM",4
"January 16, 2017 at 7 PM",6
"January 16, 2017 at 8 PM",8
"January 16, 2017 at 9 PM",13
"January 16, 2017 at 10 PM",10
"January 16, 2017 at 11 PM",9
"January 17, 2017 at 12 AM",7
"January 17, 2017 at 1 AM",3
"January 17, 2017 at 2 AM",3
"January 17, 2017 at 3 AM",2
"January 17, 2017 at 4 AM",2
"January 17, 2017 at 5 AM",2
"January 17, 2017 at 6 AM",5
"January 17, 2017 at 7 AM",8
"January 17, 2017 at 8 AM",4
"January 17, 2017 at 9 AM",8
"January 17, 2017 at 10 AM",11
"January 17, 2017 at 11 AM",7
"January 17, 2017 at 12 PM",16
"January 17, 2017 at 1 PM",6
"January 17, 2017 at 2 PM",6
"January 17, 2017 at 3 PM",11
"January 17, 2017 at 4 PM",11
"January 17, 2017 at 5 PM",7
"January 17, 2017 at 6 PM",6
"January 17, 2017 at 7 PM",7
"January 17, 2017 at 8 PM",10
"January 17, 2017 at 9 PM",11
"January 17, 2017 at 10 PM",5
"January 17, 2017 at 11 PM",3
"January 18, 2017 at 12 AM",5
"January 18, 2017 at 1 AM",6
"January 18, 2017 at 2 AM",8
"January 18, 2017 at 3 AM",2
"January 18, 2017 at 5 AM",5
"January 18, 2017 at 6 AM",6
"January 18, 2017 at 7 AM",7
"January 18, 2017 at 8 AM",11
"January 18, 2017 at 9 AM",8
"January 18, 2017 at 10 AM",5
"January 18, 2017 at 11 AM",5
"January 18, 2017 at 12 PM",9
"January 18, 2017 at 1 PM",3
"January 18, 2017 at 2 PM",7
"January 18, 2017 at 3 PM",9
"January 18, 2017 at 4 PM",12
"January 18, 2017 at 5 PM",14
"January 18, 2017 at 6 PM",14
"January 18, 2017 at 7 PM",9
"January 18, 2017 at 8 PM",7
"January 18, 2017 at 9 PM",5
"January 18, 2017 at 10 PM",6
"January 18, 2017 at 11 PM",6
"January 19, 2017 at 12 AM",3
"January 19, 2017 at 1 AM",8
"January 19, 2017 at 2 AM",3
"January 19, 2017 at 3 AM",3
"January 19, 2017 at 4 AM",5
"January 19, 2017 at 5 AM",1
"January 19, 2017 at 6 AM",2
"January 19, 2017 at 7 AM",8
"January 19, 2017 at 8 AM",10
"January 19, 2017 at 9 AM",6
"January 19, 2017 at 10 AM",5
"January 19, 2017 at 11 AM",7
"January 19, 2017 at 12 PM",7
"January 19, 2017 at 1 PM",8
"January 19, 2017 at 2 PM",9
"January 19, 2017 at 3 PM",8
"January 19, 2017 at 4 PM",16
"January 19, 2017 at 5 PM",8
"January 19, 2017 at 6 PM",6
