ds,y
12/23/2017,115
12/24/2017,118
12/25/2017,80
12/26/2017,110
12/27/2017,181
12/28/2017,122
12/29/2017,158
12/30/2017,140
12/31/2017,141
1/1/2018,231
1/2/2018,163
1/3/2018,183
1/4/2018,162
1/5/2018,149
1/6/2018,173
1/7/2018,149
1/8/2018,162
1/9/2018,177
1/10/2018,178
1/11/2018,142
1/12/2018,172
1/13/2018,149
1/14/2018,149
1/15/2018,133
1/16/2018,172
1/17/2018,202
1/18/2018,185
1/19/2018,230
1/20/2018,161
1/21/2018,130
1/22/2018,124
1/23/2018,167
1/24/2018,176
1/25/2018,186
1/26/2018,199
1/27/2018,159
1/28/2018,147
1/29/2018,188
1/30/2018,179
1/31/2018,166
2/1/2018,200
2/2/2018,193
2/3/2018,169
2/4/2018,146
2/5/2018,157
2/6/2018,173
2/7/2018,178
2/8/2018,195
2/9/2018,164
2/10/2018,119
2/11/2018,109
2/12/2018,126
2/13/2018,149
2/14/2018,176
2/15/2018,165
2/16/2018,173
2/17/2018,165
2/18/2018,143
2/19/2018,133
2/20/2018,117
2/21/2018,152
2/22/2018,133
2/23/2018,184
2/24/2018,146
2/25/2018,129
2/26/2018,155
2/27/2018,177
2/28/2018,203
3/1/2018,225
3/2/2018,177
3/3/2018,146
3/4/2018,125
3/5/2018,163
3/6/2018,159
3/7/2018,191
3/8/2018,158
3/9/2018,185
3/10/2018,152
3/11/2018,156
3/12/2018,138
3/13/2018,163
3/14/2018,158
3/15/2018,159
3/16/2018,173
3/17/2018,170
3/18/2018,152
3/19/2018,174
3/20/2018,164
3/21/2018,175
3/22/2018,198
3/23/2018,196
3/24/2018,134
3/25/2018,168
3/26/2018,153
3/27/2018,157
3/28/2018,125
3/29/2018,151
3/30/2018,183
3/31/2018,161
4/1/2018,175
4/2/2018,144
4/3/2018,171
4/4/2018,176
4/5/2018,178
4/6/2018,209
4/7/2018,179
4/8/2018,157
4/9/2018,180
4/10/2018,188
4/11/2018,184
4/12/2018,233
4/13/2018,169
4/14/2018,167
4/15/2018,165
4/16/2018,192
4/17/2018,159
4/18/2018,204
4/19/2018,174
4/20/2018,208
4/21/2018,166
4/22/2018,141
4/23/2018,201
4/24/2018,199
4/25/2018,185
4/26/2018,205
4/27/2018,183
4/28/2018,195
4/29/2018,169
4/30/2018,160
5/1/2018,249
5/2/2018,196
5/3/2018,197
5/4/2018,192
5/5/2018,175
5/6/2018,169
5/7/2018,186
5/8/2018,189
5/9/2018,212
5/10/2018,185
5/11/2018,200
5/12/2018,167
5/13/2018,169
5/14/2018,191
5/15/2018,170
5/16/2018,196
5/17/2018,166
5/18/2018,194
5/19/2018,170
5/20/2018,170
5/21/2018,184
5/22/2018,173
5/23/2018,166
5/24/2018,211
5/25/2018,211
5/26/2018,202
5/27/2018,171
5/28/2018,183
5/29/2018,206
5/30/2018,194
5/31/2018,174
6/1/2018,232
6/2/2018,184
6/3/2018,167
6/4/2018,147
6/5/2018,189
6/6/2018,182
6/7/2018,180
6/8/2018,177
6/9/2018,161
6/10/2018,182
6/11/2018,171
6/12/2018,161
6/13/2018,194
6/14/2018,203
6/15/2018,211
6/16/2018,193
6/17/2018,171
6/18/2018,146
6/19/2018,172
6/20/2018,201
6/21/2018,184
6/22/2018,204
6/23/2018,182
6/24/2018,146
6/25/2018,184
6/26/2018,179
6/27/2018,213
6/28/2018,157
6/29/2018,229
6/30/2018,205
7/1/2018,207
7/2/2018,183
7/3/2018,180
7/4/2018,207
7/5/2018,177
7/6/2018,186
7/7/2018,166
7/8/2018,176
7/9/2018,156
7/10/2018,182
7/11/2018,189
7/12/2018,196
7/13/2018,193
7/14/2018,174
7/15/2018,158
7/16/2018,198
7/17/2018,202
7/18/2018,182
7/19/2018,172
7/20/2018,234
7/21/2018,191
7/22/2018,188
7/23/2018,193
